variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_variant,shape_variant,mean_k_factor,min_k_factor,max_k_factor,mean_raw_k_factor,mean_k_log_std
T4_dynk_s1_c0p15,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.07425885303592085,24701.208988119895,23918.706127369696,782.502860750199,0.0327150999131511,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9444356960518224,0.8682568612964863,0.9919322854454797,0.9312148926460602,0.9419252502222834
T4_dynk_s1_c0p2,20260425,1600,Run11.xlsx,Run11.csv,1.3578673601150513,1.733018159866333,0.013554289937019348,0.07425885303592085,24701.208988119895,23918.706127369696,782.502860750199,0.0327150999131511,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,0.9444356960518224,0.8682568612964863,0.9919322854454797,0.9312148926460602,0.9419252502222834
T3_fixed_k,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.00811266292543143,38832.35894716884,38722.98916828896,109.36977887988178,0.002824414675338311,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0,1.0,1.0,1.0,0.0
T4_dynk_s0p25_c0p05,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.009212116613003236,38768.91185232059,38722.98916828896,45.92268403163325,0.0011859281790477134,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0015727435691308,1.0000220170313878,1.005713262609654,0.9678250397781741,0.9805670094846055
T4_dynk_s0p25_c0p1,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.009212116613003236,38768.91185232059,38722.98916828896,45.92268403163325,0.0011859281790477134,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0015727435691308,1.0000220170313878,1.005713262609654,0.9678250397781741,0.9805670094846055
T4_dynk_s0p25_c0p15,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.009212116613003236,38768.91185232059,38722.98916828896,45.92268403163325,0.0011859281790477134,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0015727435691308,1.0000220170313878,1.005713262609654,0.9678250397781741,0.9805670094846055
T4_dynk_s0p25_c0p2,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.009212116613003236,38768.91185232059,38722.98916828896,45.92268403163325,0.0011859281790477134,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0015727435691308,1.0000220170313878,1.005713262609654,0.9678250397781741,0.9805670094846055
T4_dynk_s0p5_c0p05,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.011075450779512656,38705.54897952348,38722.98916828896,17.440188765474886,0.00045038332887165154,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0031651121976568,1.0000440340627759,1.0114265252193082,0.9681193879207768,0.9804910461164497
T4_dynk_s0p5_c0p1,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.011075450779512656,38705.54897952348,38722.98916828896,17.440188765474886,0.00045038332887165154,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0031651121976568,1.0000440340627759,1.0114265252193082,0.9681193879207768,0.9804910461164497
T4_dynk_s0p5_c0p15,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.011075450779512656,38705.54897952348,38722.98916828896,17.440188765474886,0.00045038332887165154,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0031651121976568,1.0000440340627759,1.0114265252193082,0.9681193879207768,0.9804910461164497
T4_dynk_s0p5_c0p2,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.011075450779512656,38705.54897952348,38722.98916828896,17.440188765474886,0.00045038332887165154,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0031651121976568,1.0000440340627759,1.0114265252193082,0.9681193879207768,0.9804910461164497
T4_dynk_s0p75_c0p05,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.013086882415511,38642.228883012154,38722.98916828896,80.76028527680319,0.0020855901626246204,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0047476682964853,1.000066051094164,1.017139787828962,0.9681193879207768,0.9804910461164497
T4_dynk_s0p75_c0p1,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.013086882415511,38642.228883012154,38722.98916828896,80.76028527680319,0.0020855901626246204,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0047476682964853,1.000066051094164,1.017139787828962,0.9681193879207768,0.9804910461164497
T4_dynk_s0p75_c0p15,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.013086882415511,38642.228883012154,38722.98916828896,80.76028527680319,0.0020855901626246204,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0047476682964853,1.000066051094164,1.017139787828962,0.9681193879207768,0.9804910461164497
T4_dynk_s0p75_c0p2,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.013086882415511,38642.228883012154,38722.98916828896,80.76028527680319,0.0020855901626246204,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0047476682964853,1.000066051094164,1.017139787828962,0.9681193879207768,0.9804910461164497
T4_dynk_s1_c0p05,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.015097761622088333,38578.917433685936,38722.98916828896,144.07173460302147,0.003720573687555214,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0063302243953138,1.0000880681255517,1.0228530504386162,0.9681193879207768,0.9804910461164497
T4_dynk_s1_c0p1,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.015097761622088333,38578.917433685936,38722.98916828896,144.07173460302147,0.003720573687555214,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0063302243953138,1.0000880681255517,1.0228530504386162,0.9681193879207768,0.9804910461164497
T4_dynk_s1_c0p15,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.015097761622088333,38578.917433685936,38722.98916828896,144.07173460302147,0.003720573687555214,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0063302243953138,1.0000880681255517,1.0228530504386162,0.9681193879207768,0.9804910461164497
T4_dynk_s1_c0p2,20260425,1600,Run4.xlsx,Run4.csv,5.214892864227295,5.391820430755615,0.031020451337099075,0.015097761622088333,38578.917433685936,38722.98916828896,144.07173460302147,0.003720573687555214,326.0,250.0,M1_R2_log_cycle_replace,S1_slow_abs_0p01,1.0063302243953138,1.0000880681255517,1.0228530504386162,0.9681193879207768,0.9804910461164497
