stage,model,variant,feature_variant,shape_variant,seed,epochs,test_case,file_name,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,feature_name,feature_columns,description,shape_name,shape_mono_lambda,shape_slow_lambda,shape_mono_tolerance_ratio
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run11.xlsx,Run11.csv,1.0545921325683594,1.4334110021591187,0.01115898136049509,0.07249028620736174,22974.33876248831,23918.706127369696,944.3673648813856,0.03948237667424514,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run4.xlsx,Run4.csv,2.290862560272217,2.8146355152130127,0.013569071888923645,0.09280421978142102,37356.92009442418,38722.98916828896,1366.0690738647754,0.035277986106079774,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run28.xlsx,Run28.csv,1.6147398948669434,1.988858699798584,0.019242115318775177,0.0661465277074071,40395.05967963622,42449.22900678442,2054.1693271482,0.048391204627530306,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run25.xlsx,Run25.csv,1.6001604795455933,1.9060499668121338,0.011829911731183529,0.04870380594362269,22504.33701920238,22834.36330453385,330.0262853314707,0.014453053975275182,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run11.xlsx,Run11.csv,1.0770200490951538,1.2864432334899902,0.012091167271137238,0.0881243457408397,22665.202632927012,23918.706127369696,1253.5034944426843,0.052406827015125425,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run4.xlsx,Run4.csv,4.374520778656006,4.803569316864014,0.027150824666023254,0.03800039859713104,38401.96255896501,38722.98916828896,321.0266093239479,0.008290336469862278,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,GRU,GRU,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run28.xlsx,Run28.csv,2.148481607437134,2.7007064819335938,0.026209330186247826,0.0788266782036944,39914.676676132796,42449.22900678442,2534.552330651626,0.05970785312134981,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run25.xlsx,Run25.csv,2.638364553451538,3.2982404232025146,0.017829984426498413,0.04845632198610521,22684.30121484368,22834.36330453385,150.06208969017098,0.006571765881485103,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run11.xlsx,Run11.csv,3.1465566158294678,3.4325971603393555,0.032844316214323044,0.018264277074078756,23798.23420178156,23918.706127369696,120.47192558813549,0.005036724183432392,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run4.xlsx,Run4.csv,7.195209980010986,7.716261863708496,0.04447919875383377,0.018782926686690512,39180.27328633248,38722.98916828896,457.2841180435207,0.011809112051142993,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run28.xlsx,Run28.csv,2.5011203289031982,2.9079463481903076,0.027640439569950104,0.06004906571905018,40522.69703712846,42449.22900678442,1926.53196965596,0.04538438069977792,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run25.xlsx,Run25.csv,2.361689805984497,2.99023699760437,0.01642540656030178,0.039802500828451645,22964.191966897964,22834.36330453385,129.82866236411428,0.005685670348353278,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run11.xlsx,Run11.csv,1.8484623432159424,2.265047073364258,0.016673313453793526,0.10291929534679763,22746.390106836854,23918.706127369696,1172.3160205328422,0.04901251824785725,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run4.xlsx,Run4.csv,0.6577324867248535,1.407895803451538,0.0034579699859023094,0.0802243396509578,37255.94032547211,38722.98916828896,1467.0488428168464,0.03788573336735694,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run28.xlsx,Run28.csv,1.709210991859436,1.9944379329681396,0.019955605268478394,0.04149159772108216,41304.3159941798,42449.22900678442,1144.913012604622,0.026971349996053804,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run25.xlsx,Run25.csv,2.2951242923736572,2.915773868560791,0.01731327921152115,0.038464195877646844,22956.73055671182,22834.36330453385,122.36725217796993,0.005358907999579452,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run11.xlsx,Run11.csv,1.2970788478851318,1.7179824113845825,0.013719343580305576,0.06364644936132577,23185.31763729081,23918.706127369696,733.3884900788871,0.03066171247614792,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run4.xlsx,Run4.csv,6.1523261070251465,6.306189060211182,0.035174865275621414,0.010593705086888427,38879.00054148951,38722.98916828896,156.01137320055568,0.004028908319100442,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260427,1600,Run28.xlsx,Run28.csv,1.954508900642395,2.2930891513824463,0.02262413315474987,0.06587830520568966,40643.950359740884,42449.22900678442,1805.2786470435385,0.04252794901775509,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run25.xlsx,Run25.csv,2.6190972328186035,3.3696703910827637,0.017212457954883575,0.04447027958953584,22778.465283966725,22834.36330453385,55.89802056712506,0.002447978068038634,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run11.xlsx,Run11.csv,1.066290259361267,1.4060664176940918,0.01131676509976387,0.07642999444732533,23013.545022419803,23918.706127369696,905.1611049498933,0.0378432303206458,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run4.xlsx,Run4.csv,6.183327674865723,6.270202159881592,0.03576889634132385,0.011441194978217918,38959.55379687212,38722.98916828896,236.5646285831608,0.0061091520480265095,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260428,1600,Run28.xlsx,Run28.csv,1.9326062202453613,2.2427477836608887,0.021324876695871353,0.033505318970206026,41430.97163812033,42449.22900678442,1018.2573686640899,0.023987652838202256,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run25.xlsx,Run25.csv,2.3970024585723877,2.8397908210754395,0.016576221212744713,0.06678431730933129,22335.082384376303,22834.36330453385,499.28092015754737,0.021865331364786213,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run11.xlsx,Run11.csv,1.153042197227478,1.3609148263931274,0.012092219665646553,0.07249744058884407,22882.32031613629,23918.706127369696,1036.3858112334055,0.04332950978679779,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run4.xlsx,Run4.csv,3.1996564865112305,3.559635877609253,0.018705157563090324,0.12660202345623509,36574.70110481133,38722.98916828896,2148.28806347763,0.055478363360360286,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,LSTM,LSTM,M1_0_5d_baseline,S0_no_shape_loss,20260429,1600,Run28.xlsx,Run28.csv,2.3739523887634277,2.788006544113159,0.026639187708497047,0.09458720141029306,39878.16187457329,42449.22900678442,2571.0671322111302,0.0605680525269425,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run25.xlsx,Run25.csv,4.074946880340576,5.052096843719482,0.031923264265060425,0.054428325454446876,23621.968221645882,22834.36330453385,787.6049171120321,0.034492090127849116,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run11.xlsx,Run11.csv,6.863679885864258,7.114482879638672,0.06784722954034805,0.0661597651631683,24873.51259535813,23918.706127369696,954.8064679884337,0.039918817636037086,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run4.xlsx,Run4.csv,11.396197319030762,12.463193893432617,0.07003673166036606,0.19494037664320515,34606.42969061639,38722.98916828896,4116.55947767257,0.10630789528623746,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260425,1600,Run28.xlsx,Run28.csv,3.49597430229187,4.003356456756592,0.03481519594788551,0.11876557863226186,40058.98586987628,42449.22900678442,2390.243136908146,0.056308281512630697,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run25.xlsx,Run25.csv,4.629209995269775,5.495440483093262,0.03425682336091995,0.05639293518857866,23206.1187122832,22834.36330453385,371.75540774935143,0.0162805243479479,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run11.xlsx,Run11.csv,7.439421653747559,9.856681823730469,0.061077781021595,0.17775226973312686,22579.93458767068,23918.706127369696,1338.771539699017,0.055971737458118086,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run4.xlsx,Run4.csv,8.670316696166992,10.6176176071167,0.04592033475637436,0.22852946028786034,35040.638333917894,38722.98916828896,3682.3508343710637,0.09509469473980112,326.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
01_五模型基准对比,1D-CNN,1D-CNN,M1_0_5d_baseline,S0_no_shape_loss,20260426,1600,Run28.xlsx,Run28.csv,3.136749267578125,3.7999565601348877,0.030916087329387665,0.07241221804936994,43262.971348263716,42449.22900678442,813.7423414792938,0.01916977906357823,543.0,250.0,legacy_5d,F|D|Cr|actual_cycle|wear_depth,五模型原始 5 维基准,none,0.0,0.0,0.0
