variant,test_case,seed_count,mean_predicted_life,true_life,mean_life_abs_error,mean_wear_mae_um,mean_k_factor
T5_calibk_s1_c0p05,Run4.xlsx,1,39049.05177617633,38722.98916828896,326.06260788737563,0.008045348011473497,0.9947473021516197
T5_calibk_s1_c0p1,Run11.xlsx,1,23220.616526848826,23918.706127369696,698.0896005208706,0.05059907342351198,0.9993651574596765
T5_calibk_s1_c0p1,Run25.xlsx,1,22574.456294836567,22834.36330453385,259.9070096972828,0.052528333868319094,1.0018302941996884
T5_calibk_s1_c0p1,Run28.xlsx,1,42500.418134163076,42449.22900678442,51.18912737865321,0.04868118176444185,1.0014801857773235
T5_calibk_s1_c0p1,Run4.xlsx,1,39049.05177617633,38722.98916828896,326.06260788737563,0.008045348011473497,0.9947473021516197
T5_calibk_s1_c0p15,Run11.xlsx,1,23220.616526848826,23918.706127369696,698.0896005208706,0.05059907342351198,0.9993651574596765
T5_calibk_s1_c0p15,Run25.xlsx,1,22574.456294836567,22834.36330453385,259.9070096972828,0.052528333868319094,1.0018302941996884
T5_calibk_s1_c0p15,Run28.xlsx,1,42500.418134163076,42449.22900678442,51.18912737865321,0.04868118176444185,1.0014801857773235
T5_calibk_s1_c0p15,Run4.xlsx,1,39049.05177617633,38722.98916828896,326.06260788737563,0.008045348011473497,0.9947473021516197
T5_calibk_s1_c0p2,Run11.xlsx,1,23220.616526848826,23918.706127369696,698.0896005208706,0.05059907342351198,0.9993651574596765
T5_calibk_s1_c0p2,Run25.xlsx,1,22574.456294836567,22834.36330453385,259.9070096972828,0.052528333868319094,1.0018302941996884
T5_calibk_s1_c0p2,Run28.xlsx,1,42500.418134163076,42449.22900678442,51.18912737865321,0.04868118176444185,1.0014801857773235
T5_calibk_s1_c0p2,Run4.xlsx,1,39049.05177617633,38722.98916828896,326.06260788737563,0.008045348011473497,0.9947473021516197
