model,variant,test_case,seed,epochs,pressure_mae,pressure_rmse,pressure_mape,wear_mae_um,predicted_life,true_life,life_abs_error,life_rel_error,native_actual_step,used_actual_step,stage,candidate,test_files
1D-CNN,T0_baseline_5d,Run4.xlsx,20260421,1600,2.0503244400024414,2.5078439712524414,0.012350846081972122,0.07064755373233952,37367.51348954943,38722.98916828896,1355.4756787395308,0.03500441747533162,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run11.xlsx,20260421,1600,1.2355592250823975,1.7414331436157227,0.013865319080650806,0.06751590911856055,23174.080935899954,23918.706127369696,744.6251914697423,0.03113149965155024,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run25.xlsx,20260421,1600,3.000363349914551,3.544759511947632,0.020064078271389008,0.07700421727914873,22248.73133284668,22834.36330453385,585.6319716871694,0.025646958659490626,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run28.xlsx,20260421,1600,2.24017071723938,2.58647084236145,0.025522621348500252,0.08083700652289187,39934.00167937511,42449.22900678442,2515.2273274093095,0.059252603316006396,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T0_baseline_5d,Run4.xlsx,20260421,1600,2.6876766681671143,3.5994443893432617,0.014164676889777184,0.11654143021060939,36944.94414787016,38722.98916828896,1778.0450204187946,0.04591703942821831,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run11.xlsx,20260521,1600,1.2745016813278198,1.489362359046936,0.012776161544024944,0.09370081996723706,22792.179447010283,23918.706127369696,1126.5266803594131,0.047098144622060106,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run25.xlsx,20260521,1600,3.88311767578125,4.505467414855957,0.02583553083240986,0.08721660335327262,22171.626677838205,22834.36330453385,662.7366266956451,0.029023652547564407,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run28.xlsx,20260521,1600,2.0026588439941406,2.5345048904418945,0.019993554800748825,0.07151772127504348,40626.52202470078,42449.22900678442,1822.7069820836405,0.04293851795970964,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T1_R1_only,Run4.xlsx,20260521,1600,2.1774919033050537,2.860793352127075,0.01216983050107956,0.048809422339266814,37881.71776988974,38722.98916828896,841.2713983992144,0.021725373388481812,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run11.xlsx,20260521,1600,1.7278660535812378,2.227785348892212,0.018552782014012337,0.04704535377562864,23351.951864967203,23918.706127369696,566.7542624024936,0.02369502177017711,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run25.xlsx,20260521,1600,2.3163836002349854,2.829596757888794,0.01596779376268387,0.03629023027926547,22880.43393830543,22834.36330453385,46.07063377157829,0.0020176009795916136,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run28.xlsx,20260521,1600,2.024040937423706,2.4418134689331055,0.023575585335493088,0.057937157966084604,40476.11477648981,42449.22900678442,1973.11423029461,0.04648174481518282,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T2_slow_only_5d,Run4.xlsx,20260521,1600,1.415817379951477,2.1676037311553955,0.0075255329720675945,0.09415362039307715,37200.025108635775,38722.98916828896,1522.9640596531826,0.03932971323661059,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run11.xlsx,20260521,1600,2.059727668762207,2.4794514179229736,0.01908557489514351,0.09667437943476931,22857.91737859112,23918.706127369696,1060.7887487785774,0.044349754670246905,326.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
Transformer,T3_R1_plus_slow,Run25.xlsx,20260521,1600,3.445187568664551,4.126769542694092,0.024826958775520325,0.04308288092736368,22648.39114784259,22834.36330453385,185.97215669125944,0.00814439860709118,543.0,250.0,stage3_formal,Run4_Run28_Run25_Run11,Run4.csv;Run28.csv;Run25.csv;Run11.csv
