candidate,test_files,runs,F_values,D_values,Cr_values,lifes,native_steps,max_native_step,coarse_step_count,max_life,min_life,life_ratio,duplicate_F_Cr,has_Run30_Run24_conflict,explainability_penalty
Run15_Run28_Run25_Run18,Run15.csv;Run28.csv;Run25.csv;Run18.csv,Run15;Run28;Run25;Run18,2160;2150;4000;4500,8;13;16;22,0.032;0.02;0.03;0.02,23060;42639;23074;35031,326;543;543;543,543.0,0,42639.0,23060.0,1.849045967042498,0,0,0
Run4_Run28_Run8_Run18,Run4.csv;Run28.csv;Run8.csv;Run18.csv,Run4;Run28;Run8;Run18,2160;2150;2150;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;42639;41554;35031,326;543;652;543,652.0,0,42639.0,35031.0,1.217179069966601,0,0,0
Run16_Run28_Run8_Run18,Run16.csv;Run28.csv;Run8.csv;Run18.csv,Run16;Run28;Run8;Run18,2160;2150;2150;4500,8;13;16;22,0.016;0.02;0.03;0.02,31421;42639;41554;35031,163;543;652;543,652.0,0,42639.0,31421.0,1.357022373571815,0,0,0
Run16_Run30_Run8_Run18,Run16.csv;Run30.csv;Run8.csv;Run18.csv,Run16;Run30;Run8;Run18,2160;4000;2150;4500,8;13;16;22,0.016;0.02;0.03;0.02,31421;24111;41554;35031,163;435;652;543,652.0,0,41554.0,24111.0,1.723445730164655,0,0,0
Run4_Run30_Run8_Run18,Run4.csv;Run30.csv;Run8.csv;Run18.csv,Run4;Run30;Run8;Run18,2160;4000;2150;4500,8;13;16;22,0.008;0.02;0.03;0.02,39038;24111;41554;35031,326;435;652;543,652.0,0,41554.0,24111.0,1.723445730164655,0,0,0
Run16_Run30_Run8_Run11,Run16.csv;Run30.csv;Run8.csv;Run11.csv,Run16;Run30;Run8;Run11,2160;4000;2150;4500,8;13;16;22,0.016;0.02;0.03;0.04,31421;24111;41554;24038,163;435;652;326,652.0,0,41554.0,24038.0,1.7286795906481405,0,0,0
Run4_Run30_Run8_Run11,Run4.csv;Run30.csv;Run8.csv;Run11.csv,Run4;Run30;Run8;Run11,2160;4000;2150;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;24111;41554;24038,326;435;652;326,652.0,0,41554.0,24038.0,1.7286795906481405,0,0,0
Run16_Run28_Run8_Run11,Run16.csv;Run28.csv;Run8.csv;Run11.csv,Run16;Run28;Run8;Run11,2160;2150;2150;4500,8;13;16;22,0.016;0.02;0.03;0.04,31421;42639;41554;24038,163;543;652;326,652.0,0,42639.0,24038.0,1.7738164572759798,0,0,0
Run4_Run28_Run8_Run11,Run4.csv;Run28.csv;Run8.csv;Run11.csv,Run4;Run28;Run8;Run11,2160;2150;2150;4500,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;41554;24038,326;543;652;326,652.0,0,42639.0,24038.0,1.7738164572759798,0,0,0
Run15_Run30_Run8_Run11,Run15.csv;Run30.csv;Run8.csv;Run11.csv,Run15;Run30;Run8;Run11,2160;4000;2150;4500,8;13;16;22,0.032;0.02;0.03;0.04,23060;24111;41554;24038,326;435;652;326,652.0,0,41554.0,23060.0,1.8019947961838683,0,0,0
Run15_Run30_Run8_Run18,Run15.csv;Run30.csv;Run8.csv;Run18.csv,Run15;Run30;Run8;Run18,2160;4000;2150;4500,8;13;16;22,0.032;0.02;0.03;0.02,23060;24111;41554;35031,326;435;652;543,652.0,0,41554.0,23060.0,1.8019947961838683,0,0,0
Run15_Run28_Run8_Run11,Run15.csv;Run28.csv;Run8.csv;Run11.csv,Run15;Run28;Run8;Run11,2160;2150;2150;4500,8;13;16;22,0.032;0.02;0.03;0.04,23060;42639;41554;24038,326;543;652;326,652.0,0,42639.0,23060.0,1.849045967042498,0,0,0
Run15_Run28_Run8_Run18,Run15.csv;Run28.csv;Run8.csv;Run18.csv,Run15;Run28;Run8;Run18,2160;2150;2150;4500,8;13;16;22,0.032;0.02;0.03;0.02,23060;42639;41554;35031,326;543;652;543,652.0,0,42639.0,23060.0,1.849045967042498,0,0,0
Run4_Run28_Run8_Run22,Run4.csv;Run28.csv;Run8.csv;Run22.csv,Run4;Run28;Run8;Run22,2160;2150;2150;3000,8;13;16;22,0.008;0.02;0.03;0.04,39038;42639;41554;34192,326;543;652;1087,1087.0,1,42639.0,34192.0,1.2470460926532523,0,0,1
Run16_Run28_Run8_Run22,Run16.csv;Run28.csv;Run8.csv;Run22.csv,Run16;Run28;Run8;Run22,2160;2150;2150;3000,8;13;16;22,0.016;0.02;0.03;0.04,31421;42639;41554;34192,163;543;652;1087,1087.0,1,42639.0,31421.0,1.357022373571815,0,0,1
Run16_Run30_Run25_Run22,Run16.csv;Run30.csv;Run25.csv;Run22.csv,Run16;Run30;Run25;Run22,2160;4000;4000;3000,8;13;16;22,0.016;0.02;0.03;0.04,31421;24111;23074;34192,163;435;543;1087,1087.0,1,34192.0,23074.0,1.4818410331975385,0,0,1
Run15_Run30_Run25_Run22,Run15.csv;Run30.csv;Run25.csv;Run22.csv,Run15;Run30;Run25;Run22,2160;4000;4000;3000,8;13;16;22,0.032;0.02;0.03;0.04,23060;24111;23074;34192,326;435;543;1087,1087.0,1,34192.0,23060.0,1.482740676496097,0,0,1
Run16_Run28_Run24_Run22,Run16.csv;Run28.csv;Run24.csv;Run22.csv,Run16;Run28;Run24;Run22,2160;2150;4000;3000,8;13;16;22,0.016;0.02;0.02;0.04,31421;42639;27965;34192,163;543;543;1087,1087.0,1,42639.0,27965.0,1.5247273377436081,0,0,1
Run4_Run28_Run24_Run22,Run4.csv;Run28.csv;Run24.csv;Run22.csv,Run4;Run28;Run24;Run22,2160;2150;4000;3000,8;13;16;22,0.008;0.02;0.02;0.04,39038;42639;27965;34192,326;543;543;1087,1087.0,1,42639.0,27965.0,1.5247273377436081,0,0,1
Run4_Run9_Run8_Run18,Run4.csv;Run9.csv;Run8.csv;Run18.csv,Run4;Run9;Run8;Run18,2160;2150;2150;4500,8;13;16;22,0.008;0.01;0.03;0.02,39038;55931;41554;35031,326;1087;652;543,1087.0,1,55931.0,35031.0,1.5966144272216036,0,0,1
