train/eval | 01_五模型基准对比 | FNN | seed=20260425 | epochs=1600
    epoch 1200 | loss=2.222798e-04 | data=2.024972e-04
    epoch 1400 | loss=1.803066e-04 | data=1.647438e-04
    epoch 1600 | loss=1.586997e-04 | data=1.470987e-04
train/eval | 01_五模型基准对比 | Transformer | seed=20260426 | epochs=1600
    epoch    1 | loss=1.227352e+00 | data=1.227335e+00
    epoch  200 | loss=1.082874e-03 | data=1.016749e-03
    epoch  400 | loss=4.789275e-04 | data=4.196410e-04
    epoch  600 | loss=3.524134e-04 | data=3.036937e-04
    epoch  800 | loss=2.842577e-04 | data=2.455327e-04
    epoch 1000 | loss=2.437124e-04 | data=2.125817e-04
    epoch 1200 | loss=2.540414e-04 | data=2.284964e-04
    epoch 1400 | loss=1.958837e-04 | data=1.751053e-04
    epoch 1600 | loss=1.814045e-04 | data=1.642124e-04
train/eval | 01_五模型基准对比 | Transformer | seed=20260427 | epochs=1600
    epoch    1 | loss=1.155281e+00 | data=1.155265e+00
    epoch  200 | loss=9.014797e-04 | data=8.365294e-04
    epoch  400 | loss=4.678795e-04 | data=4.162515e-04
    epoch  600 | loss=3.449218e-04 | data=3.056670e-04
    epoch  800 | loss=2.733935e-04 | data=2.443145e-04
    epoch 1000 | loss=2.282227e-04 | data=2.060536e-04
    epoch 1200 | loss=1.921063e-04 | data=1.747204e-04
    epoch 1400 | loss=1.827057e-04 | data=1.678836e-04
    epoch 1600 | loss=1.664239e-04 | data=1.542731e-04
train/eval | 01_五模型基准对比 | Transformer | seed=20260428 | epochs=1600
    epoch    1 | loss=1.086198e+00 | data=1.086157e+00
    epoch  200 | loss=1.066743e-03 | data=9.767228e-04
    epoch  400 | loss=4.914307e-04 | data=4.228820e-04
    epoch  600 | loss=3.561286e-04 | data=3.068341e-04
    epoch  800 | loss=3.233961e-04 | data=2.900867e-04
    epoch 1000 | loss=2.406328e-04 | data=2.170439e-04
    epoch 1200 | loss=2.213677e-04 | data=2.035926e-04
    epoch 1400 | loss=2.009718e-04 | data=1.875539e-04
    epoch 1600 | loss=1.892605e-04 | data=1.779830e-04
train/eval | 01_五模型基准对比 | Transformer | seed=20260429 | epochs=1600
    epoch    1 | loss=1.125234e+00 | data=1.125231e+00
    epoch  200 | loss=9.101109e-04 | data=8.361480e-04
    epoch  400 | loss=4.295268e-04 | data=3.801813e-04
    epoch  600 | loss=3.258790e-04 | data=2.923342e-04
